Name,FirstTime,FirstDate,PB,PBDate,OutdoorPB,OutdoorLocation,OutdoorDate,IndoorPB,IndoorLocation,IndoorDate,DOB,Country,FastestTime,FastestDate
mohamed moustaoui,3:50.080,6/6/2008,,,3:50.080,"bislett stadion, oslo (nor)",6/6/2008,,,,4/2/1985,mar,3:50.080,6/6/2008
anis selmouni,3:52.660,6/1/2003,,,3:52.660,"fbk stadium, hengelo (ned)",6/1/2003,,,,3/15/1979,mar,3:52.660,6/1/2003
mohamed amyn,3:52.660,7/7/1999,,,3:52.660,"stadio olimpico, roma (ita)",7/7/1999,,,,3/25/1976,mar,3:52.660,7/7/1999
noureddine behar,3:55.100,7/16/1997,,,3:55.100,nice (fra),7/16/1997,,,,4/8/1966,mar,3:55.100,7/16/1997
abdellah abdelhaq,3:57.150,8/25/1996,,,3:57.150,sheffield (gbr),8/25/1996,,,,8/13/1968,mar,3:57.150,8/25/1996
zouhair talbi,3:59.500,1/29/2022,,,,,,3:59.500,"washburn indoor athletic facility, topeka, ks (usa)",1/29/2022,4/8/1995,mar,3:59.500,1/29/2022
alejandro suarez,3:59.810,6/14/2005,,,3:59.810,burnaby (can),6/14/2005,,,,11/30/1980,mex,3:59.810,6/14/2005
david galvan,3:59.040,4/18/1999,,,,,,,,,,mex,3:59.040,4/18/1999
pablo solares,3:58.500,2/15/2008,,,3:59.490,st. louis (usa),5/30/2013,3:54.520,"boston, ma (usa)",2/7/2009,12/22/1984,mex,3:54.520,2/7/2009
carlos villareal,3:57.640,2/10/2018,,,3:58.640,"los angeles, ca (usa)",8/22/2020,3:56.770,"armory track&field center, new york, ny (usa)",2/8/2020,5/10/1997,mex,3:56.770,2/8/2020
juan luis barrios,3:57.340,7/17/2013,,,3:57.340,dublin (irl),7/17/2013,,,,6/24/1983,mex,3:57.340,7/17/2013
fernando daniel martinez,3:57.920,4/13/2018,,,3:57.920,"santa barbara, ca (usa)",4/13/2018,,,,5/30/1993,mex,3:57.920,4/13/2018
hector torres,3:59.030,4/19/1998,,,3:59.030,"walnut, ca (usa)",4/19/1998,3:58.000,"san diego, ca (usa)",1/24/1999,9/8/1973,mex,3:58.000,1/24/1999
jose juan esparza,3:58.030,2/8/2014,,,,,,3:58.030,"boston, ma (usa)",2/8/2014,8/26/1990,mex,3:58.030,2/8/2014
juan maximo martinez,3:58.400,5/24/1975,,,3:58.400,"modesto, ca (usa)",5/24/1975,,,,1/1/1947,mex,3:58.400,5/24/1975
jose david galvan martinez,3:59.040,4/18/1999,,,3:59.040,"walnut, ca (usa)",4/18/1999,,,,4/6/1976,mex,3:59.040,4/18/1999
marko koers,3:59.700,1/20/1996,,,3:53.470,berlin (ger),8/30/1996,3:57.370,stockholm (swe),2/15/2001,11/3/1972,ned,3:53.470,8/30/1996
haico scharn,3:59.300,9/4/1973,,,3:57.180,zurich (sui),8/16/1974,,,,6/18/1945,ned,3:57.180,8/16/1974
klaas lok,3:58.900,9/9/1978,,,3:57.690,leiden (ned),5/22/1981,,,,1/12/1955,ned,3:57.690,5/22/1981
evert hoving,3:58.160,8/6/1976,,,3:57.800,gateshead (gbr),7/30/1977,,,,1/14/1953,ned,3:57.800,7/30/1977
richard douma,3:57.600,7/22/2016,,,3:57.600,"olympic stadium, london (gbr)",7/22/2016,,,,4/17/1993,ned,3:57.600,7/22/2016
stijn jaspers,3:57.280,8/25/1982,,,3:57.280,koblenz (ger),8/25/1982,,,,6/3/1961,ned,3:57.280,8/25/1982
rob druppers,3:57.220,6/16/1985,,,3:57.220,formia (ita),6/16/1985,3:58.400,sindelfingen (ger),2/5/1988,4/29/1962,ned,3:57.220,6/16/1985
han kulker,3:53.930,8/14/1985,,,3:53.930,hechtel (bel),8/14/1985,,,,8/15/1959,ned,3:53.930,8/14/1985
gert-jan liefers,3:51.390,6/10/2003,,,3:51.390,"fbk stadium, hengelo (ned)",6/1/2003,,,,9/26/1978,ned,3:51.390,6/10/2003
niels laros,3:48.930,9/16/2023,,,3:48.930,"hayward field, eugene, or (usa)",9/16/2023,,,,4/17/2005,ned,3:48.930,9/16/2023
noah baltus,3:52.470,9/6/2023,,,3:52.470,"tsv stadion, pfungstadt (ger)",9/6/2023,,,,2/3/2002,ned,3:52.470,9/6/2023
valentijn weinans,3:59.160,6/20/2019,,,3:59.160,"mestsky stadion, ostrava (cze)",6/20/2019,,,,12/29/1995,ned,3:59.160,6/20/2019
mahadi abdi ali,3:59.590,9/6/2023,,,3:59.590,"tsv stadion, pfungstadt (ger)",9/6/2023,,,,11/8/1995,ned,3:59.590,9/6/2023
wybo lelieveld,3:59.780,5/22/1981,,,3:59.780,leiden (ned),5/22/1981,3:59.600,"boston, ma (usa)",2/11/1983,5/7/1957,ned,3:59.600,2/11/1983
lars kaupang,3:59.900,7/31/1974,,,,,,,,,,nor,3:59.900,7/31/1974
arne kvalheim,3:59.400,5/6/1967,,,3:56.400,"eugene, or (usa)",6/6/1971,,,,4/25/1945,nor,3:56.400,6/6/1971
vegard olstad,3:58.790,2/14/2015,,,,,,3:58.790,"ames, ia (usa)",2/14/2015,9/12/1992,nor,3:58.790,2/14/2015
jim svenoy,3:58.740,7/22/1994,,,3:58.740,"bislett stadion, oslo (nor)",7/22/1994,,,,4/22/1972,nor,3:58.740,7/22/1994
knut kvalheim,3:58.200,4/27/1973,,,3:56.200,oslo (nor),7/31/1974,,,,6/14/1950,nor,3:56.200,7/31/1974
jacob boutera,3:57.380,8/12/2020,,,3:57.380,"arna idrettspark, bergen (nor)",8/12/2020,,,,4/29/1996,nor,3:57.380,8/12/2020
henrik ingebrigtsen,3:57.350,6/7/2012,,,3:50.720,"bislett stadion, oslo (nor)",6/11/2014,,,,2/24/1991,nor,3:50.720,6/11/2014
mats hauge,3:57.250,8/12/2020,,,3:57.250,"arna idrettspark, bergen (nor)",8/12/2020,,,,7/16/1997,nor,3:57.250,8/12/2020
narve gilje nordas,3:56.620,8/12/2020,,,3:48.240,"hayward field, eugene, or (usa)",9/16/2023,,,,9/30/1998,nor,3:48.240,9/16/2023
filip ingebrigtsen,3:55.020,6/9/2016,,,3:49.600,"olympic stadium, london (gbr)",7/21/2019,3:56.990,"armory track&field center, new york, ny (usa)",2/8/2020,4/20/1993,nor,3:49.600,7/21/2019
ferdinand kvan edman,3:53.420,7/10/2021,,,3:53.420,"bislett stadion, oslo (nor)",7/1/2021,,,,2/12/1993,nor,3:53.420,7/10/2021
lars-ove strrmr,3:59.100,8/28/1985,,,3:59.100,koblenz (ger),8/28/1985,,,,5/7/1963,nor,3:59.100,8/28/1985
bjornar sandnes lillefosse,3:59.810,8/12/2020,,,3:59.810,"arna idrettspark, bergen (nor)",8/12/2020,,,,7/17/1992,nor,3:59.810,8/12/2020
lars-martin kaupang,3:59.900,7/31/1974,,,3:59.900,oslo (nor),7/31/1974,,,,8/18/1952,nor,3:59.900,7/31/1974
tommy gjolga,3:59.980,8/8/1993,,,3:59.980,byrkjelo (nor),8/8/1993,,,,5/1/1969,nor,3:59.980,8/8/1993
oliver chignell,3:59.970,1/30/2021,,,3:59.770,"cooks gardens, whanganui (nzl)",1/30/2021,,,,2/16/1998,nzl,3:59.770,1/30/2021
robbie johnston,3:59.960,2/19/1994,,,,,,,,,,nzl,3:59.960,2/19/1994
hamish christensen,3:59.910,1/18/1995,,,3:56.130,whanganui (nzl),1/16/1999,,,,9/1/1972,nzl,3:56.130,1/16/1999
john bowden,3:59.900,1/26/1980,,,3:58.840,auckland (nzl),1/30/1982,,,,6/19/1956,nzl,3:58.840,1/30/1982
malcolm hicks,3:59.870,1/28/2012,,,3:59.870,whanganui (nzl),1/27/2012,,,,10/19/1987,nzl,3:59.870,1/28/2012
gareth hyett,3:59.800,2/11/2006,,,3:57.460,brasschaat (bel),7/21/2007,,,,2/13/1980,nzl,3:57.460,7/21/2007
jason woolhouse,3:59.800,3/13/2009,,,3:59.800,christchurch (nzl),3/13/2009,,,,9/9/1980,nzl,3:59.800,3/13/2009
matthew taylor,3:59.800,1/30/2022,,,3:59.800,"cooks gardens, whanganui (nzl)",1/30/2022,,,,6/28/1994,nzl,3:59.800,1/30/2022
richard potts,3:59.800,12/15/1993,,,3:59.800,christchurch (nzl),12/15/1993,,,,7/13/1971,nzl,3:59.800,12/15/1993
peter renner,3:59.700,2/13/1985,,,3:59.700,whanganui (nzl),2/13/1985,,,,10/27/1959,nzl,3:59.700,2/13/1985
rod dixon,3:59.600,1/26/1972,,,3:53.620,stockholm (swe),6/30/1975,3:56.800,"san diego, ca (usa)",2/21/1976,7/13/1950,nzl,3:53.620,6/30/1975
mike gilchrist,3:59.600,6/26/1983,,,3:59.600,edinburgh (gbr),6/26/1983,,,,8/9/1960,nzl,3:59.600,6/26/1983
tony rogers,3:59.500,3/20/1982,,,3:54.600,whanganui (nzl),12/18/1982,,,,4/30/1957,nzl,3:54.600,12/18/1982
hayden mclaren,3:59.500,1/26/2008,,,,,,3:57.780,"boston, ma (usa)",2/14/2009,8/11/1987,nzl,3:57.780,2/14/2009
kerry rodger,3:59.500,2/13/1985,,,3:59.500,whanganui (nzl),2/13/1985,,,,3/13/1962,nzl,3:59.500,2/13/1985
james preston,3:59.440,1/28/2023,,,3:59.440,"cooks gardens, whanganui (nzl)",1/28/2023,,,,5/8/1997,nzl,3:59.440,1/28/2023
john henwood,3:59.350,2/6/1997,,,3:59.350,whanganui (nzl),1/18/1997,,,,8/30/1972,nzl,3:59.350,2/6/1997
max smith,3:59.330,1/27/2006,,,3:56.460,brasschaat (bel),7/21/2007,3:59.330,"boston, ma (usa)",1/27/2006,10/28/1984,nzl,3:56.460,7/21/2007
alan bunce,3:59.320,7/10/1990,,,3:59.100,gateshead (gbr),8/17/1990,,,,8/23/1967,nzl,3:59.100,8/17/1990
simon maunder,3:59.280,1/22/2000,,,3:59.300,whanganui (nzl),1/22/2000,,,,8/20/1972,nzl,3:59.280,1/22/2000
bill baillie,3:59.200,2/10/1964,,,3:59.200,wellington (nzl),2/1/1964,,,,5/28/1934,nzl,3:59.200,2/10/1964
hamish carson,3:59.110,1/28/2012,,,3:56.720,whanganui (nzl),1/19/2016,3:57.760,"boston, ma (usa)",1/27/2018,11/1/1988,nzl,3:56.720,1/19/2016
liam back,3:59.060,4/8/2022,,,3:59.060,"ray treacy track at hendricken field, providence, ri (usa)",4/8/2022,,,,1/1/2002,nzl,3:59.060,4/8/2022
tony polhill,3:59.000,7/15/1971,,,3:57.000,london (gbr),9/15/1972,,,,12/15/1947,nzl,3:57.000,9/15/1972
euan robertson,3:58.940,8/26/1977,,,3:58.900,berlin (ger),8/26/1977,,,,6/14/1948,nzl,3:58.900,8/26/1977
julian oakley,3:58.890,6/5/2014,,,3:58.020,"saint louis university high school, saint louis, mo (usa)",6/3/2021,3:55.100,"boston, ma (usa)",2/10/2018,6/23/1993,nzl,3:55.100,2/10/2018
john walker,3:58.800,7/7/1973,,,3:49.080,oslo (nor),7/7/1982,3:52.800,"san diego, ca (usa)",2/20/1981,1/12/1952,nzl,3:49.080,7/7/1982
john davies,3:58.800,2/15/1963,,,3:56.800,london (gbr),7/3/1965,,,,5/25/1938,nzl,3:56.800,7/3/1965
richard tayler,3:58.800,1/23/1971,,,3:58.800,dunedin (nzl),1/23/1971,,,,8/12/1948,nzl,3:58.800,1/23/1971
ian studd,3:58.610,8/13/1966,,,3:58.610,kingston (jam),8/13/1966,,,,4/26/1905,nzl,3:58.610,8/13/1966
julian matthews,3:58.570,2/12/2011,,,3:57.940,dublin (irl),7/24/2015,3:56.910,"new york, ny (usa)",2/20/2016,7/21/1988,nzl,3:56.910,2/20/2016
samuel tanner,3:58.410,3/20/2019,,,3:49.510,"hayward field, eugene, or (usa)",9/16/2023,3:51.700,"armory track&field center, new york, ny (usa)",2/11/2023,8/24/2000,nzl,3:49.510,9/16/2023
paul hamblyn,3:58.410,2/23/2005,,,3:58.410,auckland (nzl),2/23/2005,,,,8/27/1980,nzl,3:58.410,2/23/2005
adrian blincoe,3:58.190,2/9/2002,,,3:54.400,rieti (ita),9/7/2003,3:57.050,"seattle, wa (usa)",2/13/2010,11/4/1979,nzl,3:54.400,9/7/2003
theo quax,3:58.130,2/15/2020,,,3:59.130,"dempsey indoor, seattle, wa (usa)",2/12/2022,3:58.130,"dempsey indoor, seattle, wa (usa)",2/15/2020,12/27/1999,nzl,3:58.130,2/15/2020
dick quax,3:57.800,3/18/1970,,,3:56.230,zurich (sui),7/9/1976,3:58.900,"san diego, ca (usa)",2/19/1971,5/1/1905,nzl,3:56.230,7/9/1976
phil clode,3:57.700,1/12/1991,,,3:57.700,auckland (nzl),1/12/1991,,,,3/11/1965,nzl,3:57.700,1/12/1991
murray halberg,3:57.500,8/6/1958,,,3:57.500,dublin (irl),8/6/1958,,,,7/7/1933,nzl,3:57.500,8/6/1958
eric speakman,3:57.300,1/19/2016,,,3:56.660,"cooks gardens, whanganui (nzl)",1/30/2021,,,,8/29/1990,nzl,3:56.660,1/30/2021
george beamish,3:56.900,2/8/2020,,,3:54.860,"hayward field, eugene, or (usa)",8/20/2021,3:51.220,"boston univ. track & tennis center, boston, ma (usa)",2/26/2023,10/24/1996,nzl,3:51.220,2/26/2023
zane robertson,3:56.130,4/20/2012,,,3:53.720,dublin (irl),7/11/2014,,,,11/14/1989,nzl,3:53.720,7/11/2014
nick willis,3:55.930,2/8/2003,,,3:49.830,"bislett stadion, oslo (nor)",6/11/2014,3:51.060,"new york, ny (usa)",2/20/2016,4/25/1983,nzl,3:49.830,6/11/2014
peter snell,3:54.400,1/27/1962,,,3:54.040,auckland (nzl),11/17/1964,,,,12/17/1938,nzl,3:54.040,11/17/1964
martin johns,3:54.100,5/26/1996,,,3:54.100,"eugene, or (usa)",5/26/1996,,,,7/5/1969,nzl,3:54.100,5/26/1996
ken moloney,3:58.060,7/7/1987,,,3:58.060,cork (irl),7/7/1987,,,,11/11/1961,nzl,3:58.060,7/7/1987
isaiah priddey,3:58.930,2/18/2022,,,,,,3:58.930,"randal tyson indoor center, fayetteville, ar (usa)",2/18/2022,3/9/2000,nzl,3:58.930,2/18/2022
stephen willis,3:59.000,1/22/2000,,,3:59.000,whanganui (nzl),1/22/2000,,,,4/24/1975,nzl,3:59.000,1/22/2000
witold baran,3:59.200,7/12/1963,,,3:56.040,london (gbr),8/3/1964,,,,7/29/1939,pol,3:56.040,8/3/1964
henryk szordykowski,3:58.900,2/12/1971,,,3:58.800,stockholm (swe),7/5/1972,3:58.900,"los angeles, ca (usa)",2/12/1971,6/3/1944,pol,3:58.800,7/5/1972
piotr kurek,3:58.440,9/10/1983,,,3:58.440,roma (ita),9/1/1983,,,,5/19/1961,pol,3:58.440,9/10/1983
filip rak,3:57.710,2/2/2023,,,,,,3:57.710,"atleticka hala, ostrava (cze)",2/2/2023,2/3/2003,pol,3:57.710,2/2/2023
henryk wasilewski,3:57.610,8/26/1977,,,3:57.600,berlin (ger),8/26/1977,,,,12/19/1953,pol,3:57.600,8/26/1977
bronislaw malinowski,3:57.590,8/16/1974,,,3:55.400,stockholm (swe),8/9/1976,,,,6/4/1951,pol,3:55.400,8/9/1976
bartosz nowicki,3:57.190,8/6/2011,,,3:57.190,"crystal palace, london (gbr)",8/6/2011,,,,2/26/1984,pol,3:57.190,8/6/2011
marcin lewandowski,3:56.410,2/13/2019,,,3:49.110,"bislett stadion, oslo (nor)",7/1/2021,3:56.410,athlone (irl),2/13/2019,6/13/1987,pol,3:49.110,7/1/2021
michal rozmys,3:55.130,6/16/2022,,,3:55.130,"bislett stadion, oslo (nor)",6/16/2022,,,,3/13/1995,pol,3:55.130,6/16/2022
miroslaw zerkowski,3:56.630,8/20/1982,,,3:56.630,london (gbr),8/20/1982,,,,8/20/1956,pol,3:56.630,8/20/1982
grzegorz kalinowski,3:58.070,7/24/2015,,,3:58.070,dublin (irl),7/24/2015,3:59.190,athlone (irl),2/21/2018,9/22/1990,pol,3:58.070,7/24/2015
michal bartoszak,3:58.960,9/10/1993,,,3:58.960,nuoro (ita),9/10/1993,3:58.390,"fairfax, va (usa)",2/6/1994,6/21/1970,pol,3:58.390,2/6/1994
zbigniew orywal,3:59.700,9/3/1958,,,3:59.700,london (gbr),9/3/1958,,,,4/5/1930,pol,3:59.700,9/3/1958
fernando mamede,3:59.430,8/6/1976,,,3:59.430,edinburgh (gbr),8/6/1976,,,,11/1/1951,por,3:59.430,8/6/1976
antonio atabao,3:58.970,9/17/1982,,,3:58.970,london (gbr),9/17/1982,,,,12/31/1955,por,3:58.970,9/17/1982
rui silva,3:58.950,4/27/1999,,,3:49.500,"stadio olimpico, roma (ita)",7/12/2002,3:52.180,stockholm (swe),2/15/2001,8/3/1977,por,3:49.500,7/12/2002
mario silva,3:58.900,7/13/1988,,,3:53.300,jerez de la frontera (esp),9/17/1991,,,,7/23/1961,por,3:53.300,9/17/1991
helder de jesus,3:57.510,8/8/1980,,,3:57.510,berlin (ger),8/8/1980,,,,4/12/1954,por,3:57.510,8/8/1980
luis feiteira,3:59.930,4/27/1999,,,3:59.930,leiria (por),4/27/1999,,,,4/21/1973,por,3:59.930,4/27/1999
david freeman,3:59.610,2/11/2006,,,,,,3:58.600,"lexington, ky (usa)",2/2/2008,4/28/1982,pur,3:58.600,2/2/2008
antonio colon,3:59.100,4/27/1973,,,3:56.400,ponce (pur),8/16/1975,,,,3/24/1953,pur,3:56.400,8/16/1975
alfredo santana,3:58.030,1/27/2018,,,,,,3:58.030,"new york, ny (usa)",1/27/2018,4/8/1991,pur,3:58.030,1/27/2018
ahmed ibrahim warsama,3:59.740,8/31/1991,,,3:57.580,rieti (ita),9/5/1993,,,,2/4/1966,qat,3:57.580,9/5/1993
jamal hairane,3:59.340,8/18/2017,,,3:59.340,"alexander stadium, birmingham (gbr)",8/20/2017,,,,5/26/1993,qat,3:59.340,8/18/2017
adam ali musab,3:53.150,7/10/2021,,,3:53.150,"bislett stadion, oslo (nor)",7/1/2021,,,,4/17/1995,qat,3:53.150,7/10/2021
hamza driouch,3:50.900,6/20/2012,,,3:50.900,"bislett stadion, oslo (nor)",6/7/2012,,,,11/16/1994,qat,3:50.900,6/20/2012
daham najim bashir,3:47.970,7/29/2005,,,3:47.970,oslo (nor),7/29/2005,,,,11/8/1979,qat,3:47.970,7/29/2005
mohamed suleiman,3:57.050,2/20/1993,,,3:51.120,zurich (sui),8/16/1995,3:57.050,birmingham (gbr),2/20/1993,11/23/1969,qat,3:51.120,8/16/1995
mohamed al garni,3:55.500,6/4/2010,,,3:55.500,"bislett stadion, oslo (nor)",6/4/2010,,,,7/2/1992,qat,3:55.500,6/4/2010
mircea bogdan,3:59.150,1/26/2008,,,,,,3:59.150,"state college, pa (usa)",1/26/2008,5/6/1982,rou,3:59.150,1/26/2008
raul botezan,3:58.940,2/11/2012,,,,,,3:57.790,"seattle, wa (usa)",2/9/2013,4/22/1988,rou,3:57.790,2/9/2013
ovidiu olteanu,3:58.180,5/29/1994,,,3:58.180,bucuresti (rou),5/29/1994,,,,8/6/1970,rou,3:58.180,5/29/1994
ioan zaizan,3:57.730,7/17/2013,,,3:57.730,dublin (irl),7/17/2013,,,,7/21/1983,rou,3:57.730,7/17/2013
christopher swart,3:59.980,6/1/2022,,,3:59.980,"green point stadium, cape town (rsa)",6/1/2022,,,,4/19/2000,rsa,3:59.980,6/1/2022
ricky robinson,3:59.900,3/16/1981,,,3:58.950,stellenbosch (rsa),3/25/1983,,,,5/16/1959,rsa,3:58.950,3/25/1983
johnny halberstadt,3:59.900,5/4/1974,,,,,,,,,,rsa,3:59.900,5/4/1974
peter kaal,3:59.900,5/27/1972,,,3:59.900,"wichita, ks (usa)",5/27/1972,,,,5/14/1949,rsa,3:59.900,5/27/1972
jacques van rensburg,3:59.840,12/13/1986,,,3:57.620,port elizabeth (rsa),12/14/1990,,,,1/24/1968,rsa,3:57.620,12/14/1990
peter van der westhuizen,3:59.800,2/16/1996,,,3:54.900,"bislett stadion, oslo (nor)",6/4/2010,3:59.050,"seattle, wa (usa)",3/8/2008,12/21/1984,rsa,3:54.900,6/4/2010
hendrik smit,3:59.800,4/23/1974,,,3:59.000,stellenbosch (rsa),11/15/1975,,,,6/14/1953,rsa,3:59.000,11/15/1975
manson du toit,3:59.780,2/16/1996,,,3:59.780,stellenbosch (rsa),2/16/1996,,,,2/11/1972,rsa,3:59.780,2/16/1996
francois van rensburg,3:59.770,11/25/1991,,,3:58.200,port elizabeth (rsa),3/25/1994,,,,8/2/1970,rsa,3:58.200,3/25/1994
scott harris,3:59.760,4/15/1994,,,3:59.760,port elizabeth (rsa),4/15/1994,,,,8/30/1968,rsa,3:59.760,4/15/1994
bennie greyling,3:59.700,3/23/1982,,,3:54.590,durban (rsa),12/9/1987,,,,2/1/1965,rsa,3:54.590,12/9/1987
de villiers lamprecht,3:59.700,11/13/1964,,,3:57.700,stellenbosch (rsa),11/13/1970,,,,12/22/1942,rsa,3:57.700,11/13/1970
clyde colenso,3:59.660,2/26/1999,,,3:58.490,"eugene, or (usa)",5/13/2000,3:54.270,"fayetteville, ar (usa)",2/10/2001,5/11/1977,rsa,3:54.270,2/10/2001
ebeneza felix,3:59.590,2/14/1997,,,3:59.590,port elizabeth (rsa),2/14/1997,,,,8/14/1970,rsa,3:59.590,2/14/1997
mark kennard,3:59.500,3/30/1979,,,3:59.500,port elizabeth (rsa),3/30/1979,,,,11/2/1959,rsa,3:59.500,3/30/1979
naude jordaan,3:59.490,3/5/1990,,,3:59.490,port elizabeth (rsa),3/5/1990,,,,7/7/1967,rsa,3:59.490,3/5/1990
ryan mphahlele,3:59.440,3/22/2018,,,3:54.480,"morton stadium, dublin (irl)",7/14/2023,,,,6/20/1998,rsa,3:54.480,7/14/2023
johan landsman,3:59.410,3/4/1991,,,3:56.610,stellenbosch (rsa),11/25/1991,,,,5/12/1964,rsa,3:56.610,11/25/1991
henning gericke,3:59.400,11/14/1981,,,3:56.170,port elizabeth (rsa),3/7/1984,,,,6/23/1960,rsa,3:56.170,3/7/1984
junior prinsloo,3:59.370,12/12/1987,,,3:59.370,port elizabeth (rsa),12/12/1987,,,,3/2/1965,rsa,3:59.370,12/12/1987
fanie van zijl,3:59.300,12/20/1967,,,3:56.000,"modesto, ca (usa)",5/27/1972,,,,7/7/1948,rsa,3:56.000,5/27/1972
ewald bonzet,3:59.300,2/26/1975,,,3:57.300,stellenbosch (rsa),2/21/1977,,,,12/25/1951,rsa,3:57.300,2/21/1977
anton nicolaisen,3:59.300,12/18/1991,,,3:59.300,port elizabeth (rsa),12/18/1991,,,,1/25/1968,rsa,3:59.300,12/18/1991
louis liebenberg,3:59.200,3/30/1979,,,3:58.100,stellenbosch (rsa),5/7/1979,,,,2/21/1958,rsa,3:58.100,5/7/1979
greg liefeldt,3:59.060,3/25/1983,,,3:58.600,port elizabeth (rsa),12/10/1983,,,,3/15/1962,rsa,3:58.600,12/10/1983
maxime chaumeton,3:59.010,3/15/2021,,,3:59.010,"coetzenburg stadium, stellenbosch (rsa)",3/15/2021,,,,7/12/2000,rsa,3:59.010,3/15/2021
marius-hugo schlechter,3:59.000,12/14/1985,,,3:59.000,port elizabeth (rsa),12/14/1985,,,,1/14/1965,rsa,3:59.000,12/14/1985
stanley roberts,3:58.970,3/6/1993,,,3:58.970,port elizabeth (rsa),3/6/1993,,,,9/30/1967,rsa,3:58.970,3/6/1993
george kusche,3:58.960,3/22/2018,,,3:58.960,paarl (rsa),3/22/2018,3:57.740,"spire institute indoor track & field facility, geneva, oh (usa)",2/13/2021,8/6/1998,rsa,3:57.740,2/13/2021
rudolph greyling,3:58.930,3/9/1988,,,,,,,,,,rsa,3:58.930,3/9/1988
rantso mokopane,3:58.920,3/22/2018,,,3:58.920,paarl (rsa),3/22/2018,,,,8/8/1994,rsa,3:58.920,3/22/2018
nkosinathi sibiya,3:58.870,4/24/2023,,,3:58.870,"green point stadium, cape town (rsa)",4/24/2023,,,,1/2/1994,rsa,3:58.870,4/24/2023
jerry motsau,3:58.840,4/20/2013,,,3:56.620,dublin (irl),7/22/2016,,,,3/12/1990,rsa,3:56.620,7/22/2016
cliffie miller,3:58.840,12/18/1991,,,3:58.840,port elizabeth (rsa),12/18/1991,,,,2/1/1964,rsa,3:58.840,12/18/1991
johan cronje,3:58.810,12/16/2005,,,3:50.700,"hayward field, eugene, or (usa)",5/31/2014,,,,4/13/1982,rsa,3:50.700,5/31/2014
hans van der veen,3:58.800,12/14/1985,,,3:58.800,port elizabeth (rsa),12/14/1985,,,,1/7/1966,rsa,3:58.800,12/14/1985
ashley smith,3:58.630,3/15/2021,,,3:58.630,"coetzenburg stadium, stellenbosch (rsa)",3/15/2021,,,,9/9/1996,rsa,3:58.630,3/15/2021
clive dale,3:58.600,2/21/1977,,,3:58.600,stellenbosch (rsa),2/21/1977,,,,11/14/1953,rsa,3:58.600,2/21/1977
craig lambert,3:58.410,12/15/1984,,,3:58.410,durban (rsa),12/14/1984,,,,9/8/1957,rsa,3:58.410,12/15/1984
whaddon niewoudt,3:58.240,3/6/1993,,,3:57.210,port elizabeth (rsa),4/15/1994,,,,1/6/1970,rsa,3:57.210,4/15/1994
sarel spies,3:58.220,3/10/1992,,,3:58.220,port elizabeth (rsa),3/2/1992,,,,10/25/1967,rsa,3:58.220,3/10/1992
danie goosen,3:57.800,2/21/1977,,,3:57.800,stellenbosch (rsa),2/21/1977,,,,12/21/1950,rsa,3:57.800,2/21/1977
marius van heerden,3:57.490,2/16/1996,,,3:57.490,stellenbosch (rsa),2/16/1996,,,,9/8/1974,rsa,3:57.490,2/16/1996
johannes job,3:57.370,2/14/1997,,,3:57.370,port elizabeth (rsa),2/14/1997,,,,5/21/1972,rsa,3:57.370,2/14/1997
hezekiel sepeng,3:57.330,2/16/1996,,,3:57.330,stellenbosch (rsa),2/16/1995,,,,6/30/1974,rsa,3:57.330,2/16/1996
johan botha,3:57.000,2/16/1996,,,3:57.000,stellenbosch (rsa),2/16/1996,,,,1/10/1974,rsa,3:57.000,2/16/1996
dumisane hlaselo,3:56.840,2/12/2011,,,,,,3:56.840,"seattle, wa (usa)",2/12/2011,6/8/1989,rsa,3:56.840,2/12/2011
danie malan,3:56.700,2/17/1975,,,3:54.600,stellenbosch (rsa),2/26/1975,3:59.800,"college park, md (usa)",1/9/1976,6/26/1950,rsa,3:54.600,2/26/1975
willem muldner,3:56.650,2/14/1997,,,3:56.650,port elizabeth (rsa),2/14/1997,,,,10/22/1973,rsa,3:56.650,2/14/1997
deon brummer,3:56.580,3/7/1984,,,3:55.420,port elizabeth (rsa),3/11/1987,,,,4/4/1959,rsa,3:55.420,3/11/1987
johan fourie,3:56.300,5/7/1979,,,3:50.820,port elizabeth (rsa),3/11/1987,,,,12/2/1959,rsa,3:50.820,3/11/1987
monde tutani,3:56.120,12/13/1986,,,3:56.120,port elizabeth (rsa),12/13/1986,,,,2/22/1961,rsa,3:56.120,12/13/1986
jean verster,3:55.760,11/12/1988,,,3:55.760,stellenbosch (rsa),11/12/1988,,,,4/23/1965,rsa,3:55.760,11/12/1988
matthews temane,3:55.400,3/9/1983,,,3:55.400,potchefstroom (rsa),3/9/1983,,,,12/14/1960,rsa,3:55.400,3/9/1983
victor radebe,3:54.620,3/11/1987,,,3:54.620,port elizabeth (rsa),3/11/1987,,,,9/27/1961,rsa,3:54.620,3/11/1987
graham davidson,3:53.860,6/10/2003,,,3:53.860,"fbk stadium, hengelo (ned)",6/1/2003,,,,10/14/1978,rsa,3:53.860,6/10/2003
juan van deventer,3:51.310,6/6/2008,,,3:51.310,"bislett stadion, oslo (nor)",6/6/2008,,,,3/26/1983,rsa,3:51.310,6/6/2008
deon fouche,3:58.230,11/12/1988,,,3:58.230,stellenbosch (rsa),11/12/1988,,,,2/21/1967,rsa,3:58.230,11/12/1988
