Number,Time,Name,Country,DOB,Position,Location,Date
2854,3:57.18,Michael Rutt,USA,28.10.87,2,Philadelphia,27.04.2013
2854,3:57.18,Robert Domanic,USA,10.03.95,4,Cork,18.07.2017
2854,3:57.18,Mohad Abdikadar Sheik Ali,ITA,12.06.93,5rA,Milano,04.09.2021
2854,3:57.18,Aidan Ryan,USA,10.10.99,7rA,Philadelphia,27.04.2024
2864,3:57.19,Phil Kane,USA,05.03.55,5,Eugene,05.06.1982
2864,3:57.19,Tony Rogers,NZL,30.04.57,2,Wellington,26.02.1983
2864,3:57.19,Eliud Kipchoge,KEN,05.11.84,6,Eugene,10.06.2007
2864,3:57.19,Bartosz Nowicki,POL,26.02.84,6,London,06.08.2011
2864,3:57.19,Trevor Dunbar,USA,29.04.91,3,Cork,08.07.2014
2864,3:57.19,Garrett Heath,USA,03.11.85,3,Falmouth,16.08.2014
2864,3:57.19,Jordan Williamsz,AUS,21.08.92,1,Geelong,23.12.2017
2864,3:57.19,Yassin Bouih,ITA,24.11.96,6rA,Milano,04.09.2021
2864,3:57.19,Piers Copeland,GBR,26.11.98,10,Dublin,12.07.2024
2873,3:57.2,Derek Ibbotson,GBR,17.06.32,1,London,19.07.1957
2873,3:57.2,Jean Wadoux,FRA,29.01.42,2,Saint-Maur,02.06.1965
2873,3:57.2,Roscoe Divine,USA,03.11.47,5,Bakersfield,23.06.1967
2873,3:57.2,Kipchoge Keino,KEN,17.01.40,1,Belfast,16.08.1967
2873,3:57.2,Thomas Von Ruden,USA,22.10.44,2r1,Lawrence,17.04.1971
2873,3:57.2,Harald Norpoth,FRG,22.08.42,4,Berlin,07.09.1971
2873,3:57.2,Brendan Foster,GBR,12.01.48,1,Stockholm,05.07.1972
2873,3:57.2,Pekka Vasala,FIN,17.04.48,2,Stockholm,05.07.1972
2873,3:57.2,Fanie van Zijl,RSA,07.07.48,1,Port Elizabeth,23.04.1974
2873,3:57.2,Paul Cummings,USA,05.09.53,5,Philadelphia,30.04.1977
2873,3:57.2,Thomas Wessinghage,FRG,22.02.52,2,Gateshead,30.07.1977
2873,3:57.2,Tom Byers,USA,12.04.55,4,Modesto,16.05.1981
2873,3:57.2,Jim Spivey,USA,07.03.60,6,Westwood,06.06.1988
2873,3:57.2,Jeff Atkinson,USA,24.02.63,2,Eugene,02.07.1988
2873,3:57.2,Steve Crabb,GBR,30.11.63,2,Rotherham,15.06.1990
2873,3:57.2,Andrew Lloyd,AUS,14.02.59,3,Rotherham,15.06.1990
2873,3:57.2,Michael Openshaw,GBR,08.04.72,2,Hexham,29.05.1998
2873,3:57.20,Amar Brahmia,ALG,02.09.54,4,Rieti,09.09.1981
2873,3:57.20,Bobby Curtis,USA,28.11.84,1,Swarthmore,14.05.2007
2873,3:57.20,Cory Leslie,USA,24.10.89,2,Nashville,08.06.2014
2873,3:57.20,Neil Gourley,GBR,07.02.95,3rA,Bay Shore,05.09.2018
2873,3:57.20,James Hansen,AUS,27.11.93,7,Melbourne,23.02.2023
2895,3:57.21,Paul Craig,CAN,02.09.53,6,Berlin,08.08.1980
2895,3:57.21,Gary Staines,GBR,03.07.63,5,Gateshead,16.07.1988
2895,3:57.21,Marcus O'Sullivan,IRL,22.12.61,6,Berlin,26.08.1988
2895,3:57.21,Whaddon Niewoudt,RSA,06.01.70,1,Port Elizabeth,15.04.1994
2895,3:57.21,Scott McGowan,USA,27.01.81,8,Eugene,04.06.2005
2895,3:57.21,Diego Ruíz,ESP,05.02.82,9,Oslo,09.06.2011
2895,3:57.21,Aaron Ahl,CAN,25.02.99,5rB,Eagle Rock,09.07.2022
2902,3:57.22,Rob Druppers,NED,29.04.62,2,Formia,16.06.1985
2902,3:57.22,Steve Scott,USA,05.05.56,2,Westwood,20.05.1990
2902,3:57.22,Belal Mansoor Ali,BRN,17.10.83,9rB,Eugene,03.07.2010
2905,3:57.23,Jan Persson,SWE,01.07.61,7,Oslo,07.07.1982
2905,3:57.23A,Doug Padilla,USA,04.10.56,1,Provo,21.05.1983
2905,3:57.23,Adam Goucher,USA,18.02.75,9,Eugene,04.06.2005
2905,3:57.23,Jesse Garn,USA,04.06.93,9rA,Concord,01.06.2017
2909,3:57.24,Frank Clement,GBR,26.04.52,2,Edinburgh,06.08.1976
2909,3:57.24,Sydney Maree,USA,09.09.56,2,Berkeley,13.06.1981
2909,3:57.24,Richie Harris,USA,04.03.59,6,Nice,15.07.1986
2909,3:57.24,Frezer Legesse,USA,04.06.90,2rA,Saint Louis,02.06.2016
2913,3:57.25,José Manuel Abascal,ESP,17.03.58,3,London,17.07.1982
2913,3:57.25,Wilson Waigwa,KEN,15.02.49,3,London,20.08.1982
2913,3:57.25,Mike Stahr,USA,09.12.64,10,London,11.07.1986
2913,3:57.25,Andrey Zadorozhniy,RUS,13.09.73,10,Zagreb,07.07.1998
2913,3:57.25,Olivier Collin,CAN,01.06.89,1,Berkeley,24.04.2010
2913,3:57.25,Garrett Heath,USA,03.11.85,6,Walnut,20.04.2012
2913,3:57.25,Mats Hauge,NOR,16.07.97,2,Bergen,12.08.2020
2920,3:57.26,Marcus O'Sullivan,IRL,22.12.61,3,London,02.08.1985
2920,3:57.26,Kevin McKay,GBR,09.02.69,2,Portsmouth,05.06.1993
2920,3:57.26,Jason Jabout,USA,13.03.82,1,Nashville,02.06.2007
2920,3:57.26,Matthew Ramsden,AUS,23.07.97,6,Cork,09.07.2025
2920,3:57.26,Émilie Toupin,CAN,15.04.03,5,Quebec City,25.07.2025
2925,3:57.27,Alan Simpson,GBR,22.05.40,2,Kingston,13.08.1966
2925,3:57.27,Omer Khalifa,SUD,18.12.56,3,Formia,16.06.1985
2925,3:57.27,Omer Khalifa,SUD,18.12.56,7,Nice,13.07.1987
2925,3:57.27,Ahmed Krama,ALG,14.02.73,7,Uniondale,21.07.1998
2925,3:57.27,Stephen Pifer,USA,07.12.84,3rA,Dublin,25.07.2008
2925,3:57.27,Mitchell Kealey,AUS,28.01.84,9,London,25.07.2008
2925,3:57.27,Johnny Gregorek,USA,07.12.91,1,West Chester,09.08.2018
2925,3:57.27,Ben Blankenship,USA,15.12.88,3,Ostrava,20.06.2019
2933,3:57.28,Stijn Jaspers,NED,03.06.61,12,Koblenz,25.08.1982
2933,3:57.28,Deon Brummer,RSA,04.04.59,3,Durban,10.12.1988
2933,3:57.28,Will Leer,USA,15.04.85,1,Falmouth,08.08.2009
2933,3:57.28,Patrick Casey,USA,23.05.90,7rB,Eugene,30.05.2015
2933,3:57.28,Brett Meyer,USA,17.12.96,4r1,Saint Louis,30.05.2024
2938,3:57.29,Miroslaw Zerkowski,POL,20.08.56,2,London,31.08.1981
2938,3:57.29,Jack Buckner,GBR,22.09.61,6,London,08.08.1986
2938,3:57.29,Jordan Gusman,AUS,30.01.94,1,Sydney,23.12.2017
2938,3:57.29,Drew Hunter,USA,05.09.97,2rB,Eugene,26.05.2018
2938,3:57.29,Ben Blankenship,USA,15.12.88,4rA,Bay Shore,05.09.2018
2943,3:57.3,Cary Weisiger,USA,08.09.38,2,Modesto,25.05.1963
2943,3:57.3,Dyrol Burleson,USA,22.04.40,1,Eugene,02.06.1966
2943,3:57.3,André de Hertoghe,BEL,19.04.41,1,Stockholm,04.07.1967
2943,3:57.3,Ian Stewart,GBR,15.01.49,2,Reading,11.06.1969
2943,3:57.3,Dick Quax,NZL,01.01.48,1,Auckland,06.03.1971
2943,3:57.3,Jim Ryun,USA,29.04.47,1,Los Angeles,09.06.1972
2943,3:57.3,Ken Popejoy,USA,09.12.50,1,Durham,12.05.1973
2943,3:57.3,Tony Waldrop,USA,29.12.51,2,Baton Rouge,09.06.1973
2943,3:57.3,Chris Fisher,AUS,02.10.49,1,Eugene,18.05.1975
2943,3:57.3,Ewald Bonzet,RSA,25.12.51,1,Stellenbosch,21.02.1977
2943,3:57.3,Ari Paunonen,FIN,10.03.58,1,Imatra,03.07.1977
2943,3:57.3,Francis Gonzalez,FRA,06.02.52,2,Tokyo,25.09.1978
2943,3:57.3,Johan Fourie,RSA,02.12.59,1,Port Elizabeth,15.12.1979
2943,3:57.3,Thomas Wessinghage,FRG,22.02.52,2,Cork,24.06.1980
2943,3:57.3,Vittorio Fontanella,ITA,17.03.53,7,Bruxelles,22.08.1980
2943,3:57.3,Doug Padilla,USA,04.10.56,5,Modesto,16.05.1981
2943,3:57.3,Ross Donoghue,USA,19.07.59,1,Tillsonburg,16.07.1983
2943,3:57.3+,Moses Kiptanui,KEN,01.10.70,1,Berlin,21.08.1992
2943,3:57.3+,David Kibet,KEN,24.11.63,2,Berlin,21.08.1992
2943,3:57.3+,Luke Kipkosgei,KEN,27.11.75,2,Oslo,09.07.1998
2943,3:57.3,Ford Palmer,USA,06.10.90,3,West Chester,11.08.2016
2943,3:57.3,Johnny Gregorek,USA,07.12.91,4,West Chester,11.08.2016
2943,3:57.30,John Mayock,GBR,26.10.70,3,Portsmouth,05.06.1993
2943,3:57.30,Tom Carter,GBR,20.08.82,2,London,06.08.2005
2943,3:57.30,Eric Speakman,NZL,29.08.90,3,Wanganui,19.01.2016
2968,3:57.31,Tom Birger Hansen,DEN,25.02.48,2,London,04.07.1975
2968,3:57.31,Pat Scammell,AUS,15.04.61,6,Edinburgh,23.07.1985
2968,3:57.31,Mark Rowland,GBR,07.03.63,2,London,01.10.1989
2968,3:57.31,Allen Klassen,CAN,17.03.68,4,Eugene,05.06.1993
2968,3:57.31,David Strang,GBR,13.12.68,13,Oslo,10.07.1993
2968,3:57.31,David Wittman,USA,04.07.69,11,Eugene,04.06.1995
2968,3:57.31,Jack Antsey,AUS,08.04.97,7,Dublin,14.07.2023
2975,3:57.32,Steve Crabb,GBR,30.11.63,2,Cardiff,17.09.1989
2975,3:57.32,Robert Denmark,GBR,23.11.68,6,Gateshead,17.08.1990
2975,3:57.32,Mohammed Amyn,MAR,25.03.76,11,London,05.08.2000
2975,3:57.32,Andrew Graffin,GBR,20.12.77,4,San Francisco,15.09.2002
2975,3:57.32,Marcin Lewandowski,POL,13.06.87,4,Ostrava,20.06.2019
2975,3:57.32,Ahmed Muhumed,USA,01.01.98,5r1,Saint Louis,30.05.2024
2975,3:57.32,Shane Streich,USA,19.09.96,10,Borås,21.08.2024
2982,3:57.33,Steve Scott,USA,05.05.56,5,Oslo,04.07.1987
2982,3:57.33,Matthew Yates,GBR,04.02.69,8,Berlin,21.08.1992
2982,3:57.33,Hezekiél Sepeng,RSA,30.06.74,2,Stellenbosch,16.02.1996
2982,3:57.33,Saïd Ahmed,USA,10.12.82,2r1,Burnaby,01.07.2004
2982,3:57.33,Ismael Debjani,BEL,25.09.90,9,Birmingham,18.08.2018
2987,3:57.34,Byron Dyce,JAM,27.03.48,5,Stockholm,01.07.1974
2987,3:57.34,Ed Spinney,USA,22.07.53,4,Eugene,28.05.1981
2987,3:57.34,Peter Wirz,SUI,29.07.60,1,Luxembourg,20.07.1983
2987,3:57.34,Mogens Guldberg,DEN,02.08.63,2,Madrid,09.06.1989
2987,3:57.34,Deon Brummer,RSA,04.04.59,1,Port Elizabeth,14.12.1990
2987,3:57.34,Brendon Bethke,USA,19.01.87,2,Dublin,08.07.2011
2987,3:57.34,Juan Luis Barrios,MEX,24.06.83,3,Dublin,17.07.2013
2987,3:57.34,Aman Wote,ETH,18.04.84,13rA,Eugene,30.05.2015
2987,3:57.34,John Travers,IRL,16.03.91,6,Dublin,19.07.2018
2987,3:57.34,Robert Domanic,USA,10.03.95,4,Raleigh,02.08.2019
2997,3:57.35,Kipchoge Keino,KEN,17.01.40,1h1,Kingston,11.08.1966
2997,3:57.35,Robert Denmark,GBR,23.11.68,6,Sheffield,15.09.1991
2997,3:57.35,Edgar Martins de Oliveira,BRA,11.11.67,2,Eugene,04.06.1994
2997,3:57.35,David Kibet,KEN,24.11.63,1,Cork,25.06.1994
2997,3:57.35,Neil Caddy,GBR,18.03.75,9,London,07.08.1999
2997,3:57.35,Alex Kipchirchir,KEN,26.11.84,1,Beaverton,04.05.2006
2997,3:57.35,Henrik Ingebrigtsen,NOR,24.02.91,12,Oslo,07.06.2012
2997,3:57.35,Craig Miller,USA,03.08.87,4,Dublin,17.07.2013
2997,3:57.35,Leonel Manzano,USA,12.09.84,2rA,Concord,07.06.2018
2997,3:57.35,Jack Antsey,AUS,08.04.97,5,Falmouth,20.08.2022
3007,3:57.36,Kipchoge Keino,KEN,17.01.40,2,London,12.08.1967
3007,3:57.36,Maurice Smith,USA,20.11.62,1,Eugene,01.06.1990
3007,3:57.36,Patrick Casey,USA,23.05.90,2rA,Dublin,24.07.2015
3010,3:57.37,Brendan Foster,GBR,12.01.48,3,London,02.07.1978
3010,3:57.37,Kevin McKay,GBR,09.02.69,6,London,27.05.1990
3010,3:57.37,Johannes Job,RSA,21.05.72,2,Port Elizabeth,14.02.1997
3010,3:57.37,Steve Agar,DMA,06.06.68,3,Portland,11.05.1997
3010,3:57.37,Steve Holman,USA,02.03.70,9,Eugene,25.05.1997
3010,3:57.37,Tyler Mulder,USA,15.02.87,3,Philadelphia,27.04.2013
3010,3:57.37,Ismael Debjani,BEL,25.09.90,11,Oslo,13.06.2019
3017,3:57.38,Deon Brummer,RSA,04.04.59,2,Durban,09.12.1987
3017,3:57.38,Jonah Birir,KEN,27.12.71,10,Bruxelles,03.09.1993
3017,3:57.38,Robby Andrews,USA,29.03.91,1,Raleigh,07.08.2015
3017,3:57.38,Colby Alexander,USA,13.06.91,7,Dublin,12.07.2017
3017,3:57.38,Graham Crawford,USA,29.12.92,5,Cork,18.07.2017
3017,3:57.38,Jacob Boutera,NOR,29.04.96,3,Bergen,12.08.2020
3023,3:57.39,Richie Harris,USA,04.03.59,8,London,08.08.1980
3023,3:57.39,Mehdi Aidet,ALG,03.11.53,2,Barcelona,10.06.1982
3023,3:57.39,Richie Harris,USA,04.03.59,5,London,07.09.1984
3023,3:57.39,Monde Tutani,RSA,22.02.62,2,Port Elizabeth,09.03.1988
3023,3:57.39,Gianni Bruzzi,ITA,15.04.67,7,San Donato Milanese,30.05.1992
3023,3:57.39,Noah Ngeny,KEN,02.11.78,11,Oslo,28.06.2002
3023,3:57.39,Jack Bolas,USA,01.11.87,5,Saline,10.08.2014
3023,3:57.39,Cristian Soratos,USA,26.09.92,3rA,Saint Louis,02.06.2016
3023,3:57.39,Evan Jager,USA,08.03.89,7,Birmingham,20.08.2017
3023,3:57.39,Rorey Hunter,AUS,02.02.93,9,Gateshead,13.07.2021
3033,3:57.4,Dyrol Burleson,USA,22.04.40,1,Eugene,13.05.1964
3033,3:57.4,Dyrol Burleson,USA,22.04.40,1,Compton,05.06.1964
3033,3:57.4,Witold Baran,POL,29.07.39,3,Saint-Maur,02.06.1965
3033,3:57.4,Kipchoge Keino,KEN,17.01.40,1,Dublin,18.09.1966
3033,3:57.4,Brian Kivlan,USA,27.03.48,2,Philadelphia,01.06.1968
3033,3:57.4,Edgar Salvé,BEL,01.08.46,2,Berlin,24.09.1969
3033,3:57.4,Steve Prefontaine,USA,25.01.51,2,Eugene,05.06.1970
3033,3:57.4,Ian Stewart,GBR,15.01.49,1,Edinburgh,13.06.1970
3033,3:57.4,Peter Stewart,GBR,08.08.47,2,Edinburgh,13.06.1970
3033,3:57.4,Peter Stewart,GBR,08.08.47,2,Leicester,31.05.1971
3033,3:57.4,Steve Prefontaine,USA,25.01.51,2,Eugene,06.06.1971
3033,3:57.4,Benjamin Jipcho,KEN,01.03.43,1,London,10.09.1971
3033,3:57.4,Peter Stewart,GBR,08.08.47,3,Stockholm,05.07.1972
3033,3:57.4,Jim Ryun,USA,29.04.47,2,London,15.09.1972
3033,3:57.4,Tony Polhill,NZL,15.12.47,2,London,18.07.1973
3033,3:57.4,Ian Stewart,GBR,15.01.49,2,London,31.05.1975
3033,3:57.4,Frank Clement,GBR,26.04.52,1,Belfast,03.06.1975
3033,3:57.4,Mike Durkin,USA,04.04.53,1,Växjö,18.08.1976
3033,3:57.4,Eamonn Coghlan,IRL,24.11.52,2,Auckland,28.01.1978
3033,3:57.4A,Johan Fourie,RSA,02.12.59,1,Bloemfontein,20.02.1981
3033,3:57.4+,Stephen Kipkorir,KEN,24.10.70,3,Nice,12.07.1995
3033,3:57.4,Marcus O'Sullivan,IRL,22.12.61,1,Haverford,04.06.1997
3033,3:57.4+,Anthony Whiteman,GBR,13.11.71,1,Bruxelles,22.08.1997
3033,3:57.4,Brian Baker,USA,08.06.70,2,Attleboro,21.05.1999
3033,3:57.40,John Robson,GBR,31.01.57,8,Cork,13.07.1983
3033,3:57.40,Joe Falcon,USA,23.06.66,6,Gateshead,28.08.1989
3033,3:57.40,Niall Bruton,IRL,07.10.71,2,Cork,25.06.1994
3033,3:57.40,Adil Kaouch,MAR,01.01.79,4,Nice,16.07.1998
3033,3:57.40,Daniel Zegeye,ETH,13.03.79,8,Gresham,03.06.2001
3033,3:57.40,Dan Clark,USA,06.09.86,2,Saline,04.08.2013
3033,3:57.40,Daniel Herrera,MEX,29.11.92,1rA,Trabuco Hills,18.07.2021
3064,3:57.41,Adrian Blincoe,NZL,04.11.79,7,London,08.08.2003
3064,3:57.41,Robert Domanic,USA,10.03.95,2rA,Bay Shore,04.09.2019
3066,3:57.42,Colin Ridding,GBR,01.11.61,5,Cork,05.07.1988
3066,3:57.42,Doug Padilla,USA,04.10.56,3,Westwood,20.05.1990
3066,3:57.42,Corey Bellemore,CAN,01.12.94,5,Cork,16.07.2018
3069,3:57.43,Steve Cram,GBR,14.10.60,4,London,02.07.1978
3069,3:57.43,Abdi Bile,SOM,28.12.62,1,Atlanta,21.07.1984
3069,3:57.43,Steven Halliday,GBR,14.03.68,7,Gateshead,28.08.1989
3069,3:57.43,Tony Morrell,GBR,30.05.62,9,Athínai,07.09.1990
3069,3:57.43,Carleton Jones,USA,20.12.65,3,Eugene,04.06.1994
3069,3:57.43,Brian Berryhill,USA,15.12.77,2,Walnut,18.04.1999
3069,3:57.43,Alex Kipchirchir,KEN,26.11.84,8,Eugene,08.06.2008
3069,3:57.43,David Torrence,USA,26.11.85,6,Eugene,31.05.2013
3069,3:57.43,Henry Wynne,USA,17.04.95,6,Eugene,20.08.2021
3078,3:57.44,Frank Clement,GBR,26.04.52,1,London,10.08.1974
3078,3:57.44,Sosthenes Bitok,KEN,23.03.57,2,Burnaby,16.06.1983
3078,3:57.44,Mike Boit,KEN,06.01.49,9,Berlin,17.08.1984
3078,3:57.44,Dub Myers,USA,04.04.64,1,Eugene,07.05.1988
3078,3:57.44,Matthew Centrowitz,USA,18.10.89,8,Eugene,01.06.2012
3078,3:57.44,Vincent Letting,KEN,16.06.93,8,Dublin,11.07.2014
3078,3:57.44,Julian Oakley,NZL,23.06.93,2,West Chester,09.08.2018
3078,3:57.44,Vidar Johansson,SWE,08.10.96,11,Borås,21.08.2024
3086,3:57.45,Jeff See,USA,06.06.86,2,Greenville,13.04.2013
3086,3:57.45,Matt Elliott,USA,08.09.85,3,Falmouth,10.08.2013
3086,3:57.45,Rorey Hunter,AUS,02.02.93,1rA,Wanganui,02.03.2019
3089,3:57.46,Barry Smith,GBR,16.04.53,9,London,08.08.1980
3089,3:57.46,Larry Mangan,USA,24.05.59,2,Eugene,14.05.1983
3089,3:57.46,Pat Scammell,AUS,15.04.61,4,Barcelona,16.07.1986
3089,3:57.46,Chuck Aragon,USA,29.03.59,5,Birmingham,07.07.1987
3089,3:57.46,Mike Blackmore,USA,19.12.61,2,Eugene,07.05.1988
3089,3:57.46,Julius Achon,UGA,12.12.76,5,Gateshead,27.06.1999
3089,3:57.46,Josh McDougal,USA,01.06.85,1,Lynchburg,31.03.2007
3089,3:57.46,Gareth Hyett,NZL,13.02.80,3,Brasschaat,21.07.2007
3089,3:57.46,Matthew Beaudet,CAN,28.02.00,6,Quebec City,25.07.2025
3098,3:57.47,Rod Dixon,NZL,13.07.50,7,Stockholm,04.07.1977
3098,3:57.47,Deon Brummer,RSA,04.04.59,3,Port Elizabeth,10.12.1984
3098,3:57.47,Jonah Birir,KEN,27.12.71,13,Berlin,27.08.1993
3098,3:57.47,Shannon Lemora,USA,24.03.70,4,Eugene,04.06.1994
3098,3:57.47,Robert Myers,USA,05.08.80,7,New York City,03.06.2006
3103,3:57.48,Craig Masback,USA,31.03.55,4,Berlin,21.08.1981
3103,3:57.48,Mike Woods,CAN,12.10.86,2,Windsor,28.07.2005
3103,3:57.48,Nathan Brannen,CAN,08.09.82,1,Burnaby,10.07.2014
3103,3:57.48,Riley Masters,USA,05.04.90,3rA,Dublin,24.07.2015
3103,3:57.48,Rob Napolitano,USA,03.11.94,2,West Long Branch,31.07.2018
3103,3:57.48,Elijah Manangoi,KEN,05.01.93,12,Palo Alto,30.06.2019
3109,3:57.49,Filbert Bayi,TAN,23.06.53,3,London,30.08.1976
3109,3:57.49,Nick Rose,GBR,30.12.51,10,London,08.08.1980
3109,3:57.49,José Manuel Abascal,ESP,17.03.58,1,Belfast,30.06.1986
3109,3:57.49,Pat Scammell,AUS,15.04.61,7,Barcelona,15.07.1987
3109,3:57.49,Marius van Heerden,RSA,08.09.74,3,Stellenbosch,16.02.1996
3109,3:57.49,Marcus O'Sullivan,IRL,22.12.61,7,Sheffield,29.06.1997
3109,3:57.49,Jack Bolas,USA,01.11.87,4,Falmouth,10.08.2013
3109,3:57.49,Garrett Heath,USA,03.11.85,2rA,Trabuco Hills,18.07.2021
3109,3:57.49,Peter Callahan,BEL,01.06.91,7,Eugene,20.08.2021
3118,3:57.5,Ron Delany,IRL,06.03.35,3,Dublin,06.08.1958
3118,3:57.5,Murray Halberg,NZL,07.07.33,4,Dublin,06.08.1958
3118,3:57.5,Mike Wiggs,GBR,25.04.38,2,Dublin,05.07.1965
3118,3:57.5,Dyrol Burleson,USA,22.04.40,1,Salem,02.04.1966
3118,3:57.5,Bronislaw Malinowski,POL,04.06.51,3,London,31.05.1975
3118,3:57.5,Knut Kvalheim,NOR,14.06.50,2,Växjö,18.08.1976
3118,3:57.5,Dick Quax,NZL,01.01.48,6,Oslo,27.06.1978
3118,3:57.5,Steve Scott,USA,05.05.56,2,Dublin,12.07.1978
3118,3:57.5,Christoph Herle,FRG,19.11.55,4,Frankfurt,05.09.1978
3118,3:57.5,Steve Lacy,USA,17.01.56,3,Berkeley,01.06.1980
3118,3:57.5,Graeme Fell,CAN,19.03.59,1,Vancouver,01.06.1983
3118,3:57.5,Vincent Rousseau,BEL,29.07.62,1,Ninove,28.07.1987
3118,3:57.5,Gary Staines,GBR,03.07.63,6,Harlow,20.08.1989
3118,3:57.5+,Marcus O'Sullivan,IRL,22.12.61,5,Nice,10.07.1996
3118,3:57.5,Marcus O'Sullivan,IRL,22.12.61,1,Haverford,14.05.1997
3118,3:57.5,Charles Makau,KEN,13.03.71,1,Aberdeen,27.08.2000
3118,3:57.5,Edwin Maranga,KEN,15.08.71,2,Aberdeen,27.08.2000
3118,3:57.50,Thomas Wessinghage,FRG,22.02.52,2,London,09.09.1977
3118,3:57.50,Andrey Zadorozhniy,RUS,13.09.73,10,London,07.08.1999
3118,3:57.50,Taylor Milne,CAN,14.09.81,1,Guelph,05.06.2010
3118,3:57.50,Andrew Baddeley,GBR,20.06.82,11,London,14.08.2010
3118,3:57.50,Graham Crawford,USA,29.12.92,10rA,Concord,01.06.2017
3118,3:57.50,Johnny Gregorek,USA,07.12.91,3,Huntington,06.09.2017
3141,3:57.51,Hélder de Jesús,POR,12.04.54,7,Berlin,08.08.1980
3141,3:57.51,Paul Ryan,USA,29.05.97,3rA,New York City,09.07.2021
3141,3:57.51,Max Davies,CAN,19.12.03,3r1,Saint Louis,05.06.2025
3141,3:57.51,Robin Van Riel,NED,30.04.00,6rA,Stirling,30.08.2025
3145,3:57.52,Dorian Ulrey,USA,11.07.87,6,Saline,10.08.2014
3145,3:57.52,Morgan McDonald,AUS,23.04.96,1,Saint Louis,01.06.2017
3147,3:57.53,Jens-Peter Herold,GER,02.06.65,9,Jerez de la Frontera,17.09.1991
3147,3:57.53,Johan Landsman,RSA,12.05.64,1,Cork,24.06.1995
3147,3:57.53,Hamish Christensen,NZL,01.09.72,1,Christchurch,06.02.1997
3147,3:57.53,Julius Achon,UGA,12.12.76,8,Sheffield,29.06.1997
3147,3:57.53,Will Geoghegan,USA,15.07.92,2rA,Eugene,08.05.2015
3152,3:57.54,Eamonn Coghlan,IRL,24.11.52,4,Philadelphia,04.08.1976
3152,3:57.54,Ray Flynn,IRL,22.01.57,4,Villanova,09.06.1985
3152,3:57.54,Anthony Whiteman,GBR,13.11.71,9,London,23.08.2002
3152,3:57.54,Russell Brown,USA,06.03.85,1,Brasschaat,26.07.2009
3152,3:57.54,Joao C. Maria Bussotti,ITA,10.05.93,5r1,San Donato Milanese,05.09.2020
3152,3:57.54,Caleb Webb,USA,28.05.97,3,Saint Louis,02.06.2022
3158,3:57.55,Benjamin Kipkurui,KEN,28.12.80,5,Portland,18.05.2002
3158,3:57.55,Phillip Lagat,KEN,16.02.83,3,Des Moines,24.04.2010
3158,3:57.55,Eric Avila,USA,03.10.89,5rA,Concord,13.06.2019
3161,3:57.57,Matthew Lane,USA,09.05.77,10,Eugene,26.05.2002
3161,3:57.57,Ricky Stevenson,GBR,14.11.88,8,Dublin,25.07.2012
3161,3:57.57,Kasey Knevelbaard,USA,02.09.96,4,West Chester,11.08.2022
3161,3:57.57,Marvin Heinrich,GER,29.01.97,13,Berlin,27.07.2025
3165,3:57.58,Kevin McKay,GBR,09.02.69,8,Gateshead,28.08.1989
3165,3:57.58,Branko Zorko,CRO,01.07.67,1,Linz,25.08.1993
3165,3:57.58,Ahmed Ibrahim Warsama,QAT,04.02.66,3,Rieti,05.09.1993
3165,3:57.58,Gary Lough,GBR,06.07.70,9,Sheffield,02.08.1998
3165,3:57.58,Mike Brannigan,USA,12.11.96,7,Raleigh,05.08.2016
3170,3:57.59,Bronislaw Malinowski,POL,04.06.51,5,Zürich,16.08.1974
3170,3:57.59,Adrian Weatherhead,GBR,22.07.43,7,London,29.08.1975
3170,3:57.59,Mike Downes,GBR,25.05.54,4,Gateshead,09.09.1979
3170,3:57.59,William van Dijck,BEL,24.01.61,3,Hechtel,14.08.1985
3170,3:57.59,Jim McKeon,USA,08.09.62,2,Swansea,13.07.1986
3170,3:57.59,Saïd Aouita,MAR,02.11.59,1,Belfast,17.07.1989
3170,3:57.59,Silas Kiplagat,KEN,20.08.89,12r2,Eugene,27.05.2017
3170,3:57.59,Patrick Tiernan,AUS,11.09.94,6,Cork,18.07.2017
3170,3:57.59,Riley Masters,USA,05.04.90,3rA,Bay Shore,04.09.2019
3170,3:57.59,James Gormley,IRL,03.04.98,7,Cork,09.07.2025
3180,3:57.6,Dyrol Burleson,USA,22.04.40,1,Eugene,24.05.1961
3180,3:57.6,Thomas O'Hara,USA,05.07.42,2,Compton,05.06.1964
3180,3:57.6,Archie San Romani Jr,USA,15.01.41,3,Compton,05.06.1964
3180,3:57.6,Peter Snell,NZL,17.12.38,1,Melbourne,03.12.1964
3180,3:57.6,Kipchoge Keino,KEN,17.01.40,1,Cardiff,10.09.1966
3180,3:57.6A,Alan Simpson,GBR,22.05.40,2,Kisumu,10.09.1967
3180,3:57.6,Marty Liquori,USA,11.09.49,3,Los Angeles,07.06.1969
3180,3:57.6,Marty Liquori,USA,11.09.49,1,Seattle,19.06.1971
3180,3:57.6,Ulf Högberg,SWE,21.01.46,2,Stockholm,06.07.1971
3180,3:57.6,Jacques Boxberger,FRA,06.04.49,5,Berlin,07.09.1971
3180,3:57.6,Len Hilton,USA,28.09.47,1,Springs,03.06.1972
3180,3:57.6,Tom Birger Hansen,DEN,25.02.48,1,Lyngby,08.07.1974
3180,3:57.6,Benjamin Jipcho,KEN,01.03.43,1,Durham,03.05.1975
